restaurant_name,stars,text
Sample Bistro,5,"The food was fresh, flavorful, and served hot. The staff was friendly and made the whole visit enjoyable."
Sample Bistro,4,"The burger tasted great and the fries were crispy, but the dining area was a little noisy during lunch."
Sample Bistro,2,My order took too long and the food was already cold when it finally arrived at the table.
Sample Bistro,5,The service was excellent from start to finish. Our server checked on us often and the meal was delicious.
Sample Bistro,3,"The food was decent, but the portion size felt small for the price we paid."
Sample Bistro,1,"The restaurant was dirty, the table was sticky, and my order was missing one of the sides."
Sample Bistro,4,The pasta had great flavor and the sauce tasted homemade. I only wish the wait time had been shorter.
Sample Bistro,5,Everything tasted fresh and well prepared. The restaurant had a relaxing atmosphere and comfortable seating.
Sample Bistro,2,"The chicken was dry and bland, and no one came back to refill our drinks after we sat down."
Sample Bistro,4,Good value for the money. The lunch special was affordable and came with a generous portion.
Sample Bistro,3,"The restaurant looked nice, but the food was just average and the service felt rushed."
Sample Bistro,5,The staff was very welcoming and the food came out quickly. The steak was cooked exactly how I ordered it.
Sample Bistro,1,"I asked for no onions, but my order still had onions. The cashier also seemed annoyed when I mentioned it."
Sample Bistro,4,The atmosphere was cozy and the music was not too loud. It was a nice place for dinner with friends.
Sample Bistro,2,"The food tasted okay, but the prices were too high for the quality and portion size."
Sample Bistro,5,The dessert was amazing and the coffee tasted fresh. I would come back just for the cheesecake.
Sample Bistro,3,"The service was polite, but the kitchen forgot one item and we had to wait extra time for it."
Sample Bistro,4,The tacos were flavorful and the ingredients tasted fresh. The parking lot was crowded but manageable.
Sample Bistro,5,"Great experience overall. The employees were attentive, the restaurant was clean, and the food was excellent."
Sample Bistro,2,The dining room was messy and several tables had not been cleaned even though the restaurant was not busy.
Sample Bistro,4,"The soup was hot, fresh, and seasoned well. Service was friendly, but checkout took longer than expected."
Sample Bistro,1,"The food was cold, the order was wrong, and it took almost forty minutes to get our meal."
Sample Bistro,5,The seafood tasted fresh and the presentation was beautiful. The server gave helpful menu recommendations.
Sample Bistro,3,"The meal was fine, but nothing really stood out. It was an average experience for the price."
Sample Bistro,4,The restaurant was clean and the staff was professional. The only issue was that the food came out a bit slow.
Sample Bistro,2,The sandwich had very little filling and the bread was dry. It did not feel worth the price.
Sample Bistro,5,"The pizza had a crispy crust, fresh toppings, and plenty of cheese. Everyone at the table enjoyed it."
Sample Bistro,3,"The food was good, but the restaurant was crowded and it was hard to hear people at our table."
Sample Bistro,4,The employees were kind and handled a busy dinner rush well. Our order was accurate and tasted good.
Sample Bistro,1,"The bathroom was not clean, the floor near our table was sticky, and the overall experience was disappointing."
